Running: /gpfs/home/tonshen/.conda/envs/MPS/bin/python /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/partition_compare_optimize.py --config /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/param.yaml --case partition_1x1 --out-dir /gpfs/home/tonshen/Seawulf_simulation/MPS_simulation/dist/10qubits/partition_compare/runs/20260319_partition_compare_laptoppath_uniformsmall_blocknorm_seed12_iter1000_r2/partition_1x1_seed=2 --iterations 1000 --report-every 2 --init-seed 2
Preparing partition-compare case `partition_1x1`.
Iteration  422 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  424 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  426 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437546
Iteration  428 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  430 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  432 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  434 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  436 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  438 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  440 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  442 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  444 | cost=0.000133178604958 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  446 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  448 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  450 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  452 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  454 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  456 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  458 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  460 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  462 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  464 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  466 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  468 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  470 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  472 | cost=0.000133178604962 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  474 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  476 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  478 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  480 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  482 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  484 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  486 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  488 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  490 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  492 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  494 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  496 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  498 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  500 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  502 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437544
Iteration  504 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  506 | cost=0.000133178604961 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  508 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  510 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  512 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  514 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  516 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  518 | cost=0.00013317860496 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  520 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
Iteration  522 | cost=0.000133178604959 | residual=0.0115403035071 | consensus=0 | error=0.0135443437545
